txn_id,value_date,description,utr,credit,debit,balance
TXN202608050001,2026-08-05,NEFT CR RAZORPAY SOFTWARE PVT LTD CITIN2608055104,CITIN2608055104,18894.39,0.00,443894.39
TXN202608060002,2026-08-06,NEFT CR RAZORPAY SOFTWARE PVT LTD CITIN2608061587,CITIN2608061587,14564.20,0.00,458458.59
TXN202608070003,2026-08-07,NEFT CR RAZORPAY SOFTWARE PVT LTD AXISN2608071357,AXISN2608071357,130508.30,0.00,588966.89
TXN202608080004,2026-08-08,NEFT CR RAZORPAY SOFTWARE PVT LTD CITIN2608085579,CITIN2608085579,4072.47,0.00,593039.36
TXN202608090005,2026-08-09,NEFT CR RAZORPAY SOFTWARE PVT LTD AXISN2608094430,AXISN2608094430,1770.21,0.00,594809.57
TXN202608100006,2026-08-10,NEFT CR RAZORPAY SOFTWARE PVT LTD AXISN2608109261,AXISN2608109261,16148.08,0.00,610957.65
TXN202608110007,2026-08-11,NEFT CR RAZORPAY SOFTWARE PVT LTD HDFCN2608110044,HDFCN2608110044,146095.17,0.00,757052.82
TXN202608120008,2026-08-12,NEFT CR RAZORPAY SOFTWARE PVT LTD CITIN2608124629,CITIN2608124629,11542.02,0.00,768594.84
TXN202608130009,2026-08-13,NEFT CR RAZORPAY SOFTWARE PVT LTD AXISN2608138659,AXISN2608138659,20333.64,0.00,788928.48
TXN202608140010,2026-08-14,NEFT CR RAZORPAY SOFTWARE PVT LTD HDFCN2608145125,HDFCN2608145125,26413.80,0.00,815342.28
TXN202608150011,2026-08-15,NEFT CR RAZORPAY SOFTWARE PVT LTD ICICN2608157671,ICICN2608157671,35412.17,0.00,850754.45
TXN202608160012,2026-08-16,NEFT CR RAZORPAY SOFTWARE PVT LTD HDFCN2608160717,HDFCN2608160717,34458.01,0.00,885212.46
TXN202608170013,2026-08-17,NEFT CR RAZORPAY SOFTWARE PVT LTD ICICN2608171628,ICICN2608171628,44693.27,0.00,929905.73
TXN202608170023,2026-08-17,IMPS CR CUSTOMER TRANSFER,IMPS2608173907,45251.00,0.00,1775834.69
TXN202608190014,2026-08-19,NEFT CR RAZORPAY SOFTWARE PVT LTD CITIN2608194900,CITIN2608194900,136462.31,0.00,1066368.04
TXN202608190024,2026-08-19,IMPS CR CUSTOMER TRANSFER,IMPS2608191977,28067.00,0.00,1803901.69
TXN202608200015,2026-08-20,NEFT CR RAZORPAY SOFTWARE PVT LTD ICICN2608200061,ICICN2608200061,285509.32,0.00,1351877.36
TXN202608210016,2026-08-21,NEFT CR RAZORPAY SOFTWARE PVT LTD HDFCN2608219874,HDFCN2608219874,32196.70,0.00,1384074.06
TXN202608220017,2026-08-22,NEFT CR RAZORPAY SOFTWARE PVT LTD ICICN2608227847,ICICN2608227847,25952.09,0.00,1410026.15
TXN202608230018,2026-08-23,NEFT CR RAZORPAY SOFTWARE PVT LTD AXISN2608236750,AXISN2608236750,3485.75,0.00,1413511.90
TXN202608230019,2026-08-23,NEFT CR RAZORPAY SOFTWARE PVT LTD AXISN2608236750,AXISN2608236750,3485.75,0.00,1416997.65
TXN202608240020,2026-08-24,NEFT CR RAZORPAY SOFTWARE PVT LTD HDFCN2608248497,HDFCN2608248497,23750.94,0.00,1440748.59
TXN202608250021,2026-08-25,NEFT CR RAZORPAY SOFTWARE PVT LTD HDFCN2608257681,HDFCN2608257681,272112.46,0.00,1712861.05
TXN202609020022,2026-09-02,NEFT CR RAZORPAY SOFTWARE PVT LTD HDFCN2608260864,HDFCN2608260864,17722.64,0.00,1730583.69
