invoice_id,order_ref,customer,invoice_date,amount,currency,status
INV-2026-0001,,Lakshmi Silks,2026-08-03,2446.00,INR,paid
INV-2026-0008,,Deccan Spice Co,2026-08-03,1020.08,INR,paid
INV-2026-0018,order_R00007017,Coastal Foods,2026-08-03,3185.00,INR,paid
INV-2026-0019,order_R00007018,Lakshmi Silks,2026-08-03,15885.00,INR,paid
INV-2026-0028,order_R00007027,Deccan Spice Co,2026-08-04,1130.00,INR,paid
INV-2026-0055,,Verma Auto Parts,2026-08-04,1180.74,INR,paid
INV-2026-0068,,Kavya Organics,2026-08-04,12547.22,INR,paid
INV-2026-0054,order_R00007053,Rohit Electronics,2026-08-05,132482.00,INR,paid
INV-2026-0022,,Verma Auto Parts,2026-08-06,683.00,INR,paid
INV-2026-0026,,Deccan Spice Co,2026-08-06,683.00,INR,paid
INV-2026-0027,order_R00007026,Coastal Foods,2026-08-06,445.00,INR,paid
INV-2026-0044,,Nimbus Softworks,2026-08-06,859.91,INR,paid
INV-2026-0056,order_R00007055,Coastal Foods,2026-08-06,669.03,INR,paid
INV-2026-0058,,Patel Hardware,2026-08-06,370.00,INR,paid
INV-2026-0070,order_R00007069,Verma Auto Parts,2026-08-06,1813.00,INR,paid
INV-2026-0005,,Rohit Electronics,2026-08-07,554.00,INR,paid
INV-2026-0040,order_R00007039,Nimbus Softworks,2026-08-07,68802.71,INR,paid
INV-2026-0003,,Nimbus Softworks,2026-08-08,1957.36,INR,paid
INV-2026-0042,,Anand Traders,2026-08-08,13357.57,INR,paid
INV-2026-0004,order_R00007003,Aarav Print House,2026-08-09,880.87,INR,paid
INV-2026-0020,,Verma Auto Parts,2026-08-09,125746.45,INR,paid
INV-2026-0052,order_R00007051,Meera Textiles,2026-08-09,21230.71,INR,paid
INV-2026-0060,order_R00007059,Sunrise Stationers,2026-08-09,851.00,INR,paid
INV-2026-0072,order_R00007071,Rohit Electronics,2026-08-09,1798.63,INR,paid
INV-2026-0063,,Patel Hardware,2026-08-10,1341.00,INR,paid
INV-2026-0002,,Nimbus Softworks,2026-08-11,751.00,INR,paid
INV-2026-0029,,Lakshmi Silks,2026-08-11,2020.00,INR,paid
INV-2026-0037,order_R00007036,Sunrise Stationers,2026-08-11,22315.09,INR,paid
INV-2026-0050,,Rohit Electronics,2026-08-11,18054.10,INR,paid
INV-2026-0017,,Nimbus Softworks,2026-08-12,19117.23,INR,paid
INV-2026-0034,order_R00007033,Rohit Electronics,2026-08-12,1434.00,INR,paid
INV-2026-0064,order_R00007063,Lakshmi Silks,2026-08-12,6256.00,INR,paid
INV-2026-0065,order_R00007064,Anand Traders,2026-08-12,2075.00,INR,paid
INV-2026-0033,,Aarav Print House,2026-08-13,11590.00,INR,paid
INV-2026-0043,order_R00007042,Coastal Foods,2026-08-13,1467.00,INR,paid
INV-2026-0051,,Kavya Organics,2026-08-13,1451.00,INR,paid
INV-2026-0071,order_R00007070,Nimbus Softworks,2026-08-13,9519.00,INR,paid
INV-2026-0030,order_R00007029,Nimbus Softworks,2026-08-14,11773.52,INR,paid
INV-2026-0066,,Meera Textiles,2026-08-14,16607.94,INR,paid
INV-2026-0015,,Nimbus Softworks,2026-08-14,16607.94,INR,paid
INV-2026-0016,,Nimbus Softworks,2026-08-15,24481.00,INR,paid
INV-2026-0035,,Deccan Spice Co,2026-08-15,155356.69,INR,paid
INV-2026-0007,order_R00007006,Aarav Print House,2026-08-17,121779.00,INR,paid
INV-2026-0046,order_R00007045,Coastal Foods,2026-08-17,10004.00,INR,paid
INV-2026-0062,order_R00007061,Rohit Electronics,2026-08-17,17981.65,INR,paid
INV-2026-0010,order_R00007009,Sunrise Stationers,2026-08-18,9939.13,INR,paid
INV-2026-0012,,Verma Auto Parts,2026-08-18,109920.00,INR,paid
INV-2026-0038,order_R00007037,Rohit Electronics,2026-08-18,24204.06,INR,paid
INV-2026-0039,,Verma Auto Parts,2026-08-18,146548.61,INR,paid
INV-2026-0049,order_R00007048,Aarav Print House,2026-08-18,1226.08,INR,paid
INV-2026-0067,,Rohit Electronics,2026-08-18,1797.42,INR,paid
INV-2026-0006,,Nimbus Softworks,2026-08-19,2299.00,INR,paid
INV-2026-0009,order_R00007008,Deccan Spice Co,2026-08-19,1180.00,INR,paid
INV-2026-0023,order_R00007022,Patel Hardware,2026-08-19,24780.00,INR,paid
INV-2026-0041,,Patel Hardware,2026-08-19,18823.74,INR,paid
INV-2026-0031,order_R00007030,Verma Auto Parts,2026-08-20,779.00,INR,paid
INV-2026-0032,order_R00007031,Aarav Print House,2026-08-20,1020.36,INR,paid
INV-2026-0021,,Nimbus Softworks,2026-08-21,2486.00,INR,paid
INV-2026-0025,order_R00007024,Deccan Spice Co,2026-08-21,1475.00,INR,paid
INV-2026-0045,,Rohit Electronics,2026-08-21,2288.92,INR,paid
INV-2026-0047,order_R00007046,Verma Auto Parts,2026-08-21,584.08,INR,paid
INV-2026-0059,order_R00007058,Sunrise Stationers,2026-08-21,1510.92,INR,paid
INV-2026-0061,,Lakshmi Silks,2026-08-21,19905.00,INR,paid
INV-2026-0069,order_R00007068,Aarav Print House,2026-08-21,107859.48,INR,paid
INV-2026-0053,order_R00007052,Patel Hardware,2026-08-22,2131.09,INR,paid
INV-2026-0011,,Patel Hardware,2026-08-23,637.04,INR,paid
INV-2026-0013,order_R00007012,Patel Hardware,2026-08-23,1418.00,INR,paid
INV-2026-0036,,Anand Traders,2026-08-23,1711.00,INR,paid
INV-2026-0048,,Rohit Electronics,2026-08-23,1554.00,INR,paid
INV-2026-0057,order_R00007056,Nimbus Softworks,2026-08-23,99980.00,INR,paid
INV-2026-0014,order_R00007013,Aarav Print House,2026-08-24,15870.00,INR,paid
INV-2026-0024,order_R00007023,Patel Hardware,2026-08-24,727.00,INR,paid
